Gene_set,Selected,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,,lipoprotein lipase activity (GO:0004465),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,LIPI;LIPH;LIPG
GO_Molecular_Function_2021,,mannokinase activity (GO:0019158),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,HK3;HKDC1;GCK
GO_Molecular_Function_2021,,neuroligin family protein binding (GO:0097109),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,SNTG2;NRXN1;NRXN3
GO_Molecular_Function_2021,,phosphodiesterase I activity (GO:0004528),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,ENPP2;ENPP1;ENPP3
GO_Molecular_Function_2021,,prostaglandin E receptor activity (GO:0004957),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,HPGD;PTGER1;PTGER3
GO_Molecular_Function_2021,,protein-arginine deiminase activity (GO:0004668),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,PADI6;PADI3;PADI1
GO_Molecular_Function_2021,,riboflavin transmembrane transporter activity (GO:0032217),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,RTBDN;SLC52A1;ABCG2
GO_Molecular_Function_2021,,serotonin-gated cation-selective channel activity (GO:0022850),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,HTR3E;HTR3A;HTR3B
GO_Molecular_Function_2021,,sialic acid transmembrane transporter activity (GO:0015136),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,SLC17A1;SLC17A2;SLC17A3
GO_Molecular_Function_2021,,"transforming growth factor beta receptor activity, type I (GO:0005025)",3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,ACVRL1;BMPR1B;BMPR1A
GO_Molecular_Function_2021,,type 1 fibroblast growth factor receptor binding (GO:0005105),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,FGF8;FGF18;FGF23
GO_Molecular_Function_2021,,type 2 fibroblast growth factor receptor binding (GO:0005111),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,FGF8;FGF18;FGF10
GO_Molecular_Function_2021,,urate transmembrane transporter activity (GO:0015143),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,SLC22A12;SLC17A3;ABCG2
GO_Molecular_Function_2021,,uridine transmembrane transporter activity (GO:0015213),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,SLC28A2;SLC28A1;SLC28A3
GO_Molecular_Function_2021,,voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007),3/5,0.057896654,0.306494143,0,0,6.003752815,17.10526624,CACNA2D1;CACNA1C;CACNA1G
GO_Molecular_Function_2021,,chemokine receptor activity (GO:0004950),9/26,0.059121888,0.309786628,0,0,2.120167436,5.996160152,CX3CR1;GPR17;CXCR1;CXCR4;CCR8;CCR7;CCR6;CCR5;CCR3
GO_Molecular_Function_2021,,epidermal growth factor receptor binding (GO:0005154),9/26,0.059121888,0.309786628,0,0,2.120167436,5.996160152,BTC;LINGO1;EPGN;EFEMP1;ERBB4;AGR2;AREG;FAM83B;EREG
GO_Molecular_Function_2021,,bicarbonate transmembrane transporter activity (GO:0015106),6/15,0.060980075,0.313132686,0,0,2.669170422,7.466225135,SLC26A7;SLC4A1;SLC26A9;SLC4A3;SLC26A3;CFTR
GO_Molecular_Function_2021,,mannose binding (GO:0005537),6/15,0.060980075,0.313132686,0,0,2.669170422,7.466225135,COLEC11;CLEC4D;CLEC6A;CD207;CLEC17A;CLEC4G
GO_Molecular_Function_2021,,solute:anion antiporter activity (GO:0140323),6/15,0.060980075,0.313132686,0,0,2.669170422,7.466225135,SLC26A7;SLC4A1;SLC26A9;SLC4A3;SLC26A3;SLC22A9
GO_Molecular_Function_2021,,Wnt-activated receptor activity (GO:0042813),6/15,0.060980075,0.313132686,0,0,2.669170422,7.466225135,FZD2;FZD4;FZD9;FZD8;ROR1;TSPAN12
GO_Molecular_Function_2021,,retinoid binding (GO:0005501),11/34,0.061864827,0.316095412,0,0,1.915561272,5.330630565,CYP26B1;CYP2W1;CYP27C1;RBP4;RBP3;ALDH1A2;CRABP1;ABCA4;RBP1;NR2F2;PTGDS
GO_Molecular_Function_2021,,leak channel activity (GO:0022840),7/19,0.067506515,0.343213816,0,0,2.335670757,6.295873325,KCNK7;KCNK10;KCNK13;KCNK16;RHAG;KCNK1;KCNK4
GO_Molecular_Function_2021,,C-C chemokine receptor activity (GO:0016493),8/23,0.071390484,0.357945419,0,0,2.135604542,5.637121866,CX3CR1;CXCR1;CXCR4;CCR8;CCR7;CCR6;CCR5;CCR3
GO_Molecular_Function_2021,,low-density lipoprotein particle receptor binding (GO:0050750),8/23,0.071390484,0.357945419,0,0,2.135604542,5.637121866,CRP;SYT1;PCSK9;APBB1;APOE;APOB;APOA5;DKK1
GO_Molecular_Function_2021,,aspartic-type peptidase activity (GO:0070001),5/12,0.072495275,0.357945419,0,0,2.859467191,7.503910722,BACE2;PIP;REN;CTSE;PGC
GO_Molecular_Function_2021,,lipase activator activity (GO:0060229),5/12,0.072495275,0.357945419,0,0,2.859467191,7.503910722,LCK;APOC2;CCL3;APOA5;ARHGAP6
GO_Molecular_Function_2021,,vascular endothelial growth factor receptor binding (GO:0005172),5/12,0.072495275,0.357945419,0,0,2.859467191,7.503910722,GREM1;CDH5;ITGB3;DAB2IP;VEGFD
GO_Molecular_Function_2021,,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282),5/12,0.072495275,0.357945419,0,0,2.859467191,7.503910722,KCNH2;KCNJ5;KCNE1;KCNJ8;KCNQ1
GO_Molecular_Function_2021,,metal ion transmembrane transporter activity (GO:0046873),9/27,0.073516657,0.361251709,0,0,2.002255074,5.226372824,SLC12A3;ASIC4;TUSC3;KCNA1;SLC11A1;ATP2B3;CLDN16;AQP1;SLC8A2
GO_Molecular_Function_2021,,G protein-coupled amine receptor activity (GO:0008227),12/39,0.074027946,0.362031906,0,0,1.780118132,4.634203986,CHRM2;CHRM3;OR10H1;HRH1;OR10J5;OR10H2;OR10H5;HTR1D;HTR1B;HTR2A;HTR4;TAAR1
GO_Molecular_Function_2021,,chloride transmembrane transporter activity (GO:0015108),6/16,0.081604841,0.393465595,0,0,2.402103155,6.019350285,SLC1A1;SLC26A7;SLC4A1;SLC26A9;SLC26A3;CFTR
GO_Molecular_Function_2021,,potassium ion leak channel activity (GO:0022841),6/16,0.081604841,0.393465595,0,0,2.402103155,6.019350285,KCNK7;KCNK10;KCNK13;KCNK16;KCNK1;KCNK4
GO_Molecular_Function_2021,,voltage-gated anion channel activity (GO:0008308),6/16,0.081604841,0.393465595,0,0,2.402103155,6.019350285,ANO1;CLCN4;CLCNKB;CLCNKA;CLCN1;SLC17A3
GO_Molecular_Function_2021,,bioactive lipid receptor activity (GO:0045125),4/9,0.085595054,0.405097328,0,0,3.202202202,7.871422196,LPAR6;S1PR1;LPAR1;FFAR1
GO_Molecular_Function_2021,,monoamine transmembrane transporter activity (GO:0008504),4/9,0.085595054,0.405097328,0,0,3.202202202,7.871422196,SLC22A3;SLC22A1;SLC6A2;SLC6A3
GO_Molecular_Function_2021,,RAGE receptor binding (GO:0050786),4/9,0.085595054,0.405097328,0,0,3.202202202,7.871422196,S100A12;S100A9;S100A8;S100A7
GO_Molecular_Function_2021,,retinal binding (GO:0016918),4/9,0.085595054,0.405097328,0,0,3.202202202,7.871422196,CYP2W1;CYP27C1;ALDH1A2;ABCA4
GO_Molecular_Function_2021,,alpha-actinin binding (GO:0051393),8/24,0.089043456,0.417569083,0,0,2.002004008,4.842108474,KCNA5;PKD2L1;LDB3;PPARG;KCNN2;CACNA1C;PDLIM4;MYPN
GO_Molecular_Function_2021,,cell adhesion mediator activity (GO:0098631),8/24,0.089043456,0.417569083,0,0,2.002004008,4.842108474,NTNG1;PLXNB3;CNTN2;ESAM;CNTN4;LRRC4C;DSCAML1;MYPN
GO_Molecular_Function_2021,,chemokine binding (GO:0019956),10/32,0.089661086,0.417700562,0,0,1.820232399,4.389888012,CX3CR1;CXCR1;ITGB3;CXCR4;CCR8;CCR7;CCR6;ACKR1;CCR5;CCR3
GO_Molecular_Function_2021,,monocarboxylic acid transmembrane transporter activity (GO:0008028),9/28,0.089884931,0.417700562,0,0,1.89675454,4.569708401,SLC16A12;MPC1L;SLC6A12;SLC16A11;SLC6A11;SLC16A9;SLC6A1;SLC16A14;ABCG2
GO_Molecular_Function_2021,,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity (GO:0017083),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,FUT6;FUT5;FUT3
GO_Molecular_Function_2021,,alkaline phosphatase activity (GO:0004035),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,ALPP;ALPL;ALPG
GO_Molecular_Function_2021,,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)",3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,ST6GALNAC1;ST6GALNAC3;ST6GALNAC5
GO_Molecular_Function_2021,,arachidonic acid binding (GO:0050544),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,PPARG;S100A9;S100A8
GO_Molecular_Function_2021,,arylesterase activity (GO:0004064),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,CA1;PON2;PON1
GO_Molecular_Function_2021,,ATP-activated inward rectifier potassium channel activity (GO:0015272),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,KCNJ8;ABCC8;ABCC9
GO_Molecular_Function_2021,,BMP receptor activity (GO:0098821),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,ACVRL1;BMPR2;BMPR1A
GO_Molecular_Function_2021,,cation:cation antiporter activity (GO:0015491),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,SLC8A3;SLC11A1;SLC8A2
GO_Molecular_Function_2021,,dihydropyrimidinase activity (GO:0004157),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,DPYS;DPYSL3;CRMP1
GO_Molecular_Function_2021,,icosatetraenoic acid binding (GO:0050543),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,PPARG;S100A9;S100A8
GO_Molecular_Function_2021,,phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,APOC1;APOE;APOA5
GO_Molecular_Function_2021,,sodium:bicarbonate symporter activity (GO:0008510),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,SLC4A9;SLC4A10;SLC4A4
GO_Molecular_Function_2021,,solute:bicarbonate symporter activity (GO:0140410),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,SLC4A9;SLC4A10;SLC4A4
GO_Molecular_Function_2021,,urea transmembrane transporter activity (GO:0015204),3/6,0.098848868,0.431990586,0,0,4.002251689,9.261863487,SLC14A1;AQP10;AQP9
GO_Molecular_Function_2021,,calcium channel regulator activity (GO:0005246),11/37,0.104441602,0.454497986,0,0,1.694216788,3.827451231,REM1;CACNG8;AMBP;RRAD;NRXN1;NPY;TNNI3;CACNG1;CACNG4;PRKG1;GEM
GO_Molecular_Function_2021,,sialyltransferase activity (GO:0008373),7/21,0.108397252,0.467747805,0,0,2.001753068,4.447800321,ST6GALNAC1;ST6GAL2;ST8SIA2;ST8SIA5;C20ORF173;ST6GALNAC3;ST6GALNAC5
GO_Molecular_Function_2021,,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)",7/21,0.108397252,0.467747805,0,0,2.001753068,4.447800321,HSD11B1;HSD3B2;DHRS9;HSD17B2;HSD17B3;HSD17B14;AKR1C4
GO_Molecular_Function_2021,,PDZ domain binding (GO:0030165),17/63,0.111621863,0.479647084,0,0,1.480302154,3.245767263,PRKN;KCNJ4;GRID2;NLGN1;CXADR;FZD2;CADM1;FZD4;SDC2;ARHGEF16;ARHGAP29;FZD8;ATP2B3;GNG12;SLC22A12;SNTG2;CFTR
GO_Molecular_Function_2021,,active ion transmembrane transporter activity (GO:0022853),12/42,0.117941916,0.504693116,0,0,1.601805416,3.423960011,SLCO1C1;SLCO1B1;SLCO2B1;SLCO1B3;SLCO2A1;SLCO1A2;SLCO5A1;SLC4A1;SLCO6A1;COX7A1;SLC22A11;SLC22A9
GO_Molecular_Function_2021,,benzodiazepine receptor activity (GO:0008503),4/10,0.120820508,0.508535501,0,0,2.668335002,5.639390571,GABRA2;GABRA4;GABRE;GABRG1
GO_Molecular_Function_2021,,calcium:sodium antiporter activity (GO:0005432),4/10,0.120820508,0.508535501,0,0,2.668335002,5.639390571,SLC24A2;SLC8A3;SLC24A5;SLC8A2
GO_Molecular_Function_2021,,cardiolipin binding (GO:1901612),4/10,0.120820508,0.508535501,0,0,2.668335002,5.639390571,MME;UCP1;PLEKHN1;RPE65
GO_Molecular_Function_2021,,monocarboxylate:sodium symporter activity (GO:0140161),4/10,0.120820508,0.508535501,0,0,2.668335002,5.639390571,SLC10A2;SLC6A12;SLC6A11;SLC6A1
GO_Molecular_Function_2021,,ATPase binding (GO:0051117),19/73,0.12783301,0.535855109,0,0,1.409351829,2.899079659,BRSK2;S100A1;WFS1;CAV1;ANK2;ATP1B2;ANK1;EGFR;NKD2;AR;SLN;LCK;HRC;PGR;ATP6V0A4;SLC26A9;EZR;SNTA1;PTPN3
GO_Molecular_Function_2021,,insulin-like growth factor receptor binding (GO:0005159),5/14,0.129763781,0.537368562,0,0,2.223751912,4.540989353,SOCS1;IRS1;IGF2;IGF1;INSL4
GO_Molecular_Function_2021,,metalloendopeptidase inhibitor activity (GO:0008191),5/14,0.129763781,0.537368562,0,0,2.223751912,4.540989353,RARRES1;COL4A3;SPOCK3;TIMP3;TIMP4
GO_Molecular_Function_2021,,phospholipase binding (GO:0043274),5/14,0.129763781,0.537368562,0,0,2.223751912,4.540989353,PRKN;LCK;APOC2;SELE;ARHGAP6
GO_Molecular_Function_2021,,"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,PDE1C;PDE1B;PDE1A
GO_Molecular_Function_2021,,fatty acid elongase activity (GO:0009922),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,ELOVL4;ELOVL2;ELOVL3
GO_Molecular_Function_2021,,galactosidase activity (GO:0015925),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,GBA3;GLB1L3;GLB1L2
GO_Molecular_Function_2021,,glycerol transmembrane transporter activity (GO:0015168),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,AQP10;AQP9;AQP1
GO_Molecular_Function_2021,,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)",3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,PHOSPHO1;ENPP1;ALPL
GO_Molecular_Function_2021,,icosanoid binding (GO:0050542),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,PPARG;S100A9;S100A8
GO_Molecular_Function_2021,,intracellular cGMP-activated cation channel activity (GO:0005223),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,CNGB3;AQP1;CNGB1
GO_Molecular_Function_2021,,long-chain fatty acid binding (GO:0036041),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,FABP2;FABP4;UCP1
GO_Molecular_Function_2021,,myosin heavy chain binding (GO:0032036),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,MYL4;MYL2;NKD2
GO_Molecular_Function_2021,,nitric-oxide synthase binding (GO:0050998),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,CAV1;NOS1AP;SNTA1
GO_Molecular_Function_2021,,P-type potassium transmembrane transporter activity (GO:0008556),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,ATP4B;ATP4A;ATP1A2
GO_Molecular_Function_2021,,sphingosine-1-phosphate phosphatase activity (GO:0042392),3/7,0.147997083,0.584588478,0,0,3.001501126,5.734556137,PLPP7;PLPP2;SGPP1
GO_Molecular_Function_2021,,taste receptor activity (GO:0008527),9/31,0.150590186,0.592552189,0,0,1.637798683,3.100669216,TAS2R7;TAS2R40;TAS2R8;TAS2R41;TAS2R42;FFAR4;PKD2L1;PKD1L3;TAS2R39
GO_Molecular_Function_2021,,semaphorin receptor binding (GO:0030215),7/23,0.159708476,0.595716771,0,0,1.751314801,3.212620892,SEMA5A;SEMA6B;SEMA5B;SEMA3D;SEMA6D;SEMA3A;SEMA3B
GO_Molecular_Function_2021,,ABC-type xenobiotic transporter activity (GO:0008559),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,ABCC3;ABCA8;ABCB11;ABCG2
GO_Molecular_Function_2021,,acetylcholine-gated cation-selective channel activity (GO:0022848),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,CHRNA1;CHRNB4;CHRNA2;CHRNA4
GO_Molecular_Function_2021,,alditol:NADP+ 1-oxidoreductase activity (GO:0004032),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,AKR1B15;AKR1D1;AKR1E2;AKR1C4
GO_Molecular_Function_2021,,amino acid:sodium symporter activity (GO:0005283),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,SLC1A1;SLC6A12;SLC6A11;SLC6A1
GO_Molecular_Function_2021,,cGMP binding (GO:0030553),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,PDE11A;PDE10A;CNGB3;CNGB1
GO_Molecular_Function_2021,,dipeptidyl-peptidase activity (GO:0008239),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,DPP10;DPP4;FAP;PRSS16
GO_Molecular_Function_2021,,extracellular ligand-gated ion channel activity (GO:0005230),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,GABRA2;GABRA4;GABRE;GABRG1
GO_Molecular_Function_2021,,filamin binding (GO:0031005),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,NEBL;DPYSL3;CRMP1;RFLNA
GO_Molecular_Function_2021,,intracellular ligand-gated ion channel activity (GO:0005217),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,RYR1;RYR2;TRPA1;ITPR3
GO_Molecular_Function_2021,,outward rectifier potassium channel activity (GO:0015271),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,KCNT1;KCNT2;KCNQ1;KCNA5
GO_Molecular_Function_2021,,phospholipase activator activity (GO:0016004),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,LCK;APOC2;CCL3;ARHGAP6
GO_Molecular_Function_2021,,protein serine/threonine phosphatase inhibitor activity (GO:0004865),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,PPP1R14A;PPP1R17;PPP1R14C;MYOZ1
GO_Molecular_Function_2021,,quaternary ammonium group transmembrane transporter activity (GO:0015651),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,SLC22A3;SLC25A48;SLC22A1;SLC25A47
GO_Molecular_Function_2021,,semaphorin receptor activity (GO:0017154),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,NRP2;PLXNA2;PLXNB3;PLXNA4
GO_Molecular_Function_2021,,superoxide-generating NAD(P)H oxidase activity (GO:0016175),4/11,0.161083221,0.595716771,0,0,2.287001287,4.175685047,NCF1;NOX5;DUOX2;NOX1
GO_Molecular_Function_2021,,amyloid-beta binding (GO:0001540),20/80,0.162958174,0.595716771,0,0,1.335008375,2.422054584,ACHE;C1QA;BCHE;NGFR;NLGN1;LRP1;COL25A1;FZD4;CACNA1B;LILRB1;LILRB2;GRIN1;MARCO;IAPP;APBB2;APBA1;APBB1;APOE;APBA2;GRIA3
GO_Molecular_Function_2021,,anion:anion antiporter activity (GO:0015301),6/19,0.162961309,0.595716771,0,0,1.847424984,3.351676873,SLC26A7;SLC4A1;SLC26A9;SLC4A3;SLC26A3;SLC22A9
GO_Molecular_Function_2021,,protein tyrosine kinase activator activity (GO:0030296),6/19,0.162961309,0.595716771,0,0,1.847424984,3.351676873,GREM1;GRM5;ERBB3;NRG1;ALKAL1;CD24
GO_Molecular_Function_2021,,aspartic-type endopeptidase activity (GO:0004190),5/15,0.164155644,0.595716771,0,0,2.001251564,3.61614201,BACE2;PIP;REN;CTSE;PGC
GO_Molecular_Function_2021,,hexose transmembrane transporter activity (GO:0015149),5/15,0.164155644,0.595716771,0,0,2.001251564,3.61614201,SLC2A14;PPBP;SLC5A1;SLC2A4;SLC2A7
GO_Molecular_Function_2021,,peptidoglycan binding (GO:0042834),5/15,0.164155644,0.595716771,0,0,2.001251564,3.61614201,PGLYRP4;REG1B;RNASE7;REG3G;NOD2
GO_Molecular_Function_2021,,phosphoric diester hydrolase activity (GO:0008081),10/36,0.167382069,0.605286568,0,0,1.539811066,2.752375694,PDE11A;PLCB4;PLCL1;MPPED2;ENPP2;ENPP1;ENPP3;ENPP6;SMPDL3A;FAM83B
GO_Molecular_Function_2021,,phosphatidylinositol bisphosphate binding (GO:1902936),23/94,0.168710082,0.607948262,0,0,1.297485188,2.30897029,GSDMC;SVIL;GSN;GSDMA;ACTN2;PLA2G4E;ALOX15;TULP1;SNAP91;SYT7;SYTL2;RPH3A;VIL1;LAPTM4B;MYO1B;SCIN;PARD3;KCNQ1;TTPA;EXOC1L;STXBP6;KCNJ2;MARK1
GO_Molecular_Function_2021,,potassium channel regulator activity (GO:0015459),13/50,0.185785775,0.667139829,0,0,1.406727269,2.367748498,DPP10;LRRC26;KCNE1;KCNIP1;LRRC38;KCNIP4;ABCC9;KCNV1;KCNS3;WNK2;KCNMB2;WNK3;KCNMB4
GO_Molecular_Function_2021,,calcium ion transmembrane transporter activity (GO:0015085),14/55,0.196511097,0.68822086,0,0,1.367138644,2.224384306,RYR1;SLC24A2;RYR2;TRPC3;PKD1L1;ATP2B3;PKD2L1;ATP2C2;PKD1L3;SLC8A2;GRIN1;TRPM1;TRPV4;SLC24A5
GO_Molecular_Function_2021,,metalloexopeptidase activity (GO:0008235),14/55,0.196511097,0.68822086,0,0,1.367138644,2.224384306,CPM;CPA2;CPA1;ENPEP;AEBP1;CPZ;TRHDE;CPN1;ACE2;FOLH1;MMP16;MMP15;CPE;CPA4
GO_Molecular_Function_2021,,carboxylic ester hydrolase activity (GO:0052689),23/96,0.197207541,0.68822086,0,0,1.261779203,2.048496766,PLA2G2F;ACHE;BCHE;PLA2G4F;PLA2G2D;PLA2G4D;PLA2G4E;PON2;PON1;PLAAT2;PLA2G7;RPE65;LIPF;CA1;AADAC;NDST3;LIPG;ASPG;ENPP2;PNPLA5;CLC;NOTUM;CES1
GO_Molecular_Function_2021,,"DNA binding, bending (GO:0008301)",5/16,0.201678741,0.68822086,0,0,1.819205825,2.912692676,FOXC1;FOXD1;LEF1;HMGA2;FOXL1
GO_Molecular_Function_2021,,potassium ion antiporter activity (GO:0022821),5/16,0.201678741,0.68822086,0,0,1.819205825,2.912692676,SLC24A2;SLC9A2;SLC9C1;SLC24A5;SLC9C2
GO_Molecular_Function_2021,,transmembrane receptor protein phosphatase activity (GO:0019198),5/16,0.201678741,0.68822086,0,0,1.819205825,2.912692676,PTPRD;PTPRR;PTPRB;PTPRK;PTPRG
GO_Molecular_Function_2021,,transmembrane receptor protein tyrosine phosphatase activity (GO:0005001),5/16,0.201678741,0.68822086,0,0,1.819205825,2.912692676,PTPRD;PTPRR;PTPRB;PTPRK;PTPRG
GO_Molecular_Function_2021,,tropomyosin binding (GO:0005523),5/16,0.201678741,0.68822086,0,0,1.819205825,2.912692676,NEBL;CALD1;TNNT1;LMOD1;SMTNL2
GO_Molecular_Function_2021,,acetylcholine receptor binding (GO:0033130),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,LYNX1;NRXN1;LY6H
GO_Molecular_Function_2021,,alpha-(1->3)-fucosyltransferase activity (GO:0046920),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,FUT6;FUT5;FUT3
GO_Molecular_Function_2021,,ciliary neurotrophic factor receptor activity (GO:0004897),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,CNTFR;LIFR;CRLF2
GO_Molecular_Function_2021,,ether hydrolase activity (GO:0016803),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,TMEM86A;EPHX2;EPHX3
GO_Molecular_Function_2021,,interleukin-17 receptor activity (GO:0030368),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,IL17REL;IL17RE;IL17RD
GO_Molecular_Function_2021,,Roundabout binding (GO:0048495),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,SLIT1;SLIT3;SLIT2
GO_Molecular_Function_2021,,solute:cation antiporter activity (GO:0015298),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,SLC8A3;CLCN4;SLC8A2
GO_Molecular_Function_2021,,tRNA-specific adenosine deaminase activity (GO:0008251),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,ADARB2;ADAT3;ADAD2
GO_Molecular_Function_2021,,xylosyltransferase activity (GO:0042285),3/8,0.203048608,0.68822086,0,0,2.401050788,3.828018993,GXYLT2;LARGE1;LARGE2
GO_Molecular_Function_2021,,fucosyltransferase activity (GO:0008417),4/12,0.205377201,0.693823636,0,0,2.001001001,3.167398464,FUT6;FUT5;FUT1;FUT3
GO_Molecular_Function_2021,,inorganic anion transmembrane transporter activity (GO:0015103),8/29,0.209584163,0.705714541,0,0,1.524859242,2.382790629,CCT8L2;ANO1;AQP6;SLC26A7;SLC4A1;SLC26A9;SLC26A3;SLC22A11
GO_Molecular_Function_2021,,protein tyrosine phosphatase activity (GO:0004725),18/74,0.212620902,0.713600216,0,0,1.287005812,1.992599674,PTPRR;PTPRS;EYA1;EYA2;PTPRN;PTPN20;TPTE;PTPRK;DUSP15;DUSP26;PTPN13;PTPRG;PTPRD;PTPRB;DUSP21;ACP4;PTPN5;PTPN3
GO_Molecular_Function_2021,,carboxypeptidase activity (GO:0004180),10/38,0.215340732,0.715656119,0,0,1.429645542,2.195268917,CPM;CPA2;ACE2;CPA1;FOLH1;CPE;AEBP1;CPZ;CPN1;CPA4
GO_Molecular_Function_2021,,phospholipase C activity (GO:0004629),7/25,0.219847309,0.715656119,0,0,1.556529482,2.357865141,CHRM3;EDNRA;PLCB4;PLCL1;PLCH1;PLCG1;CCR5
